P-1 (modmul count/10^7) for stage 2 with b1=5m, b2=150m, bigstep = 210, for various prime-pairing #memory buffers:
#buf	#modmul
  24	8482142
  72	7462541
 120	6903803
 168	6578211
 216	6369191
 264	6213292
 312	6102927
 360	6019017
 408	5948963
 456	5893249
 504	5848289
 552	5809671
 600	5779087
 648	5750744
 696	5727095
 744	5706454
 792	5687784
 840	5671474
 888	5657449
 936	5643928
 984	5631970
1032	5621610
1080	5610944
1128	5602213
1176	5594236
1224	5587383
1272	5579976
1320	5573772
1368	5568653
1416	5562780
1464	5557665
1512	5552816
1560	5548156
1608	5543827
1656	5539520
1704	5535999
1752	5532637
1800	5529301
1848	5526107
1896	5523275
1944	5520469
1992	5517760
2040	5515237
2088	5513037
2136	5510383
2184	5508344
2232	5506230
2280	5504316
2328	5502474
2376	5500748
